Country,Region,Population,Area_sq_mi,Pop_Density_sq_mi,Coastline,Net_migration,Infant_mortality_per1000births,GDP,Literacy,Phones_1000),Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48.0,0,2.306,16.307,700,36.0,3.2,1.213,22,8.765,1,46.6,2.034,38,24,38
Albania ,EASTERN EUROPE                     ,3581655,28748,124.6,126,-493,2.152,4500,86.5,71.2,2.109,442,7.449,3,1.511,522,232,188,579
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,4,-39,31,6000,70.0,78.1,322,25,9.653,1,1.714,461,101,0.6,298
American Samoa ,OCEANIA                            ,57794,199,290.4,5.829,-2.071,927,8000,97.0,259.5,10,15,75,2,2.246,327,,,
Andorra ,WESTERN EUROPE                     ,71201,468,152.1,0,6.6,405,19000,100.0,497.2,222,0,9.778,3,871,625,,,
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,13,0,19.119,1900,42.0,7.8,241,24,9.735,,4.511,24.2,96,658,246
Anguilla ,LATIN AMER. & CARIB    ,13477,102,132.1,5.980,1.076,2.103,8600,95.0,460.0,0,0,100,2,1.417,534,4,18,78
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,156.0,3.454,-615,1.946,11000,89.0,549.9,1.818,455,7.727,2,1.693,537,38,22,743
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,18,61,1.518,11200,97.1,220.4,1.231,48,8.721,3,1.673,755,95,358,547
Armenia ,C.W. OF IND. STATES ,2976372,29800,99.9,0,-647,2.328,3500,98.6,195.7,1.755,2.3,8.015,4,1.207,823,239,343,418
Aruba ,LATIN AMER. & CARIB    ,71891,193,372.5,3.549,0,589,28000,97.0,516.1,1.053,0,8.947,2,1.103,668,4,333,663
Australia ,OCEANIA                            ,20264082,7686850,2.6,34,398,469,29000,100.0,565.5,655,4,9.341,1,1.214,751,38,262,0.7
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0,2,466,30000,98.0,452.2,1.691,86,8.223,3,874,976,18,304,678
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,0,-4.9,8.174,3400,97.0,137.1,1.963,271,7.766,1,2.074,975,141,457,402
Bahamas. The ,LATIN AMER. & CARIB    ,303770,13940,21.8,2.541,-2.2,2.521,16700,95.6,460.6,0.8,0.4,98.8,2,1.757,905,3,7,0.9
Bahrain ,NEAR EAST                          ,698585,665,1050.5,2.421,105,1.727,16900,89.1,281.3,282,563,9.155,1,17.8,414,5,387,608
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,40,-71,62.6,1900,43.1,7.3,6.211,307,3.482,2,29.8,827,199,198,603
Barbados ,LATIN AMER. & CARIB    ,279912,431,649.5,2.251,-31,12.5,15700,97.4,481.9,3.721,233,6.046,2,1.271,867,6,16,78
Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0,254,1.337,6100,99.6,319.1,2.955,0.6,6.985,4,1.116,1.402,93,316,591
Belgium ,WESTERN EUROPE                     ,10379067,30528,340.0,22,123,468,29100,98.0,462.6,2.328,0.4,7.632,3,1.038,1.027,1,24,749
Belize ,LATIN AMER. & CARIB    ,287730,22966,12.5,168,0,2.569,4900,94.1,115.7,285,171,9.544,2,2.884,572,142,152,612
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,11,0,85,1100,40.9,9.7,1.808,2.4,7.952,2,3.885,1.222,316,138,546
Bermuda ,NORTHERN AMERICA                   ,65773,53,1241.0,19.434,249,853,36000,98.0,851.4,20,0,80,2,11.4,774,1,0.1,89
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0,0,10.044,1300,42.2,14.3,309,43,9.648,2,3.365,12.7,258,379,363
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0,-132,5.311,2400,87.2,71.9,267,19,9.714,1.5,23.3,753,128,352,52
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,88.0,4,31,2.105,6100,,215.4,13.6,296,8.344,4,877,827,142,308,55
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,0,0,5.458,9000,79.8,80.5,65,1,9.934,1,2.308,29.5,24,469,507
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,9,-3,2.961,7600,86.4,225.3,696,0.9,9.215,2,1.656,617,84,0.4,516
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,151.0,5.229,1.001,1.805,16000,97.8,506.5,20,667,7.333,2,1.489,442,18,62,92
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,279,359,1.261,18600,93.9,237.2,57,76,9.867,2,1.879,345,36,561,403
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,32,-458,2.055,7600,98.6,336.3,4.002,192,5.806,3,965,1.427,93,304,603
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0,0,9.757,1100,26.6,7.0,1.443,19,8.538,2,4.562,15.6,322,196,482
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,28,-1.8,6.724,1800,85.3,10.1,1.519,97,8.384,2,1.791,983,564,82,353
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,0,-6,6.929,600,51.6,3.4,3.505,1.402,5.093,2,4.222,1.346,463,203,334
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,24,0,7.148,1900,69.4,2.6,2.096,61,7.843,2,26.9,906,35,0.3,35
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,8,0,6.826,1800,79.0,5.7,1.281,258,8.461,1.5,3.389,1.347,448,17,382
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,202,596,475,29800,97.0,552.2,496,2,9.502,,1.078,7.8,22,294,684
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,2.393,-1.207,4.777,1400,76.6,169.6,968,0.5,8.982,3,2.487,655,121,219,66
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,6.107,1.875,819,35000,98.0,836.3,385,0,9.615,2,1.274,489,14,32,954
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0,0,91,1100,51.0,2.3,3.1,14,9.676,2,3.391,1.865,55,0.2,25
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,0,-11,9.382,1200,47.5,1.3,286,2,9.712,2,4.573,1.638,335,259,406
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,85,0,8.8,9900,96.2,213.0,265,42,9.693,3,1.523,581,6,493,447
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,15,-0.4,2.418,5000,90.9,266.7,15.4,125,8.335,1.5,1.325,697,125,473,403
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,28,-31,2.097,6300,92.5,176.2,242,167,9.591,2,2.048,558,125,342,533
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,1.567,0,7.493,700,56.5,24.5,3.587,2.332,4.081,2,3.693,8.2,0.4,4,56
Congo. Dem. Rep. ,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0,0,9.469,700,65.5,0.2,296,52,9.652,2,4.369,1.327,55,11,34
Congo. Repub. of the ,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,5,-17,9.386,700,83.8,3.7,51,13,9.936,2,4.257,1.293,62,57,369
Cook Islands ,OCEANIA                            ,21388,240,89.1,5.000,,,5000,95.0,289.9,1.739,1.304,6.957,2,21,,151,96,753
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,79.8,252,51,995,9100,96.0,340.7,441,588,8.971,2,1.832,436,88,299,614
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,16,-7,9.083,1400,50.9,14.6,975,1.384,7.641,2,3.511,1.484,279,171,55
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,1.032,158,684,10600,98.5,420.4,2.609,227,7.165,,961,1.148,7,308,622
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,337,-158,633,2900,97.0,74.7,3.305,7.6,5.935,2,1.189,722,55,261,684
Cyprus ,NEAR EAST                          ,784301,9250,84.8,701,43,718,19200,97.6,,779,444,8.777,3,1.256,768,37,198,765
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0,97,393,15700,99.9,314.3,39.8,305,5.715,3,902,1.059,34,393,573
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,1.697,248,456,31100,100.0,614.6,5.402,19,4.579,3,1.113,1.036,18,246,735
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,137,0,10.413,1300,67.9,22.8,4,0,9.996,1,3.953,1.931,179,225,596
Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,1.963,-1.387,1.415,5400,94.0,304.8,667,20,7.333,2,1.527,673,177,328,495
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,188.5,264,-322,3.238,6000,84.7,97.4,2.265,1.033,6.702,2,2.322,573,112,306,582
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,470,0,4.741,500,58.6,,471,67,9.462,2,2.699,624,85,231,684
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,79,-858,2.366,3300,92.5,125.6,585,493,8.922,2,2.229,423,7,312,618
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,24,-22,3.259,4000,57.7,131.8,287,48,9.665,1,2.294,523,149,357,493
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,146,-374,25.1,4800,80.2,142.4,3.185,1.207,5.608,2,2.661,578,99,302,599
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,106,0,8.513,2700,85.7,18.5,463,357,91.8,2,3.559,1.506,3,906,62
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,184,0,7.487,700,58.6,7.9,495,3,9.502,1.5,3.433,9.6,102,254,643
Estonia ,BALTICS                            ,1324333,45226,29.3,839,-316,787,12300,99.8,333.8,1.604,45,8.351,3,1.004,1.325,4,294,666
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0,0,9.532,700,42.7,8.2,1.071,75,8.854,2,3.798,1.486,475,99,426
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,33.8,7.984,141,624,22000,,503.8,214,0,9.786,,1.405,8.7,27,11,62
Fiji ,OCEANIA                            ,905949,18270,49.6,618,-314,1.262,5800,93.7,112.6,1.095,465,84.4,2,2.255,565,89,135,776
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,37,95,357,27400,100.0,405.3,719,3,9.278,3,1.045,986,28,295,676
France ,WESTERN EUROPE                     ,60876136,547030,111.3,63,66,426,27600,99.0,586.4,3.353,207,64.4,4,1.199,914,22,214,764
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,42,627,1.207,8300,83.0,255.6,14,5,9.981,2,2.046,488,66,156,778
French Polynesia ,OCEANIA                            ,274578,4167,65.9,6.060,294,844,17500,98.0,194.5,82,546,9.372,2,1.668,469,31,19,769
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,33,0,5.364,5500,63.2,27.4,126,66,9.808,2,3.616,1.225,61,592,348
Gambia. The ,SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,71,157,7.202,1700,40.1,26.8,25,0.5,74.5,2,3.937,1.225,308,142,549
Gaza Strip ,NEAR EAST                          ,1428757,360,3968.8,1.111,1.6,2.293,600,,244.3,2.895,2.105,50,3,3.945,3.8,3,283,687
Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,44,-4.7,1.859,2500,99.0,146.6,1.144,386,84.7,3,1.041,923,172,275,553
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,67,218,416,27600,99.0,667.9,3.385,59,6.556,3,825,1.062,9,296,695
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,23,-64,5.143,2200,74.8,14.4,1.626,967,7.407,2,3.052,972,366,246,387
Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,17.143,0,513,17500,,877.7,0,0,100,,1.074,931,,,
Greece ,WESTERN EUROPE                     ,10688058,131940,81.0,1.037,235,553,20000,97.5,589.7,21.1,878,7.012,3,968,1.024,54,213,733
Greenland ,NORTHERN AMERICA                   ,56361,2166086,0.0,204,-837,1.582,20000,,448.9,0,0,100,1,1.593,784,,,
Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,3.517,-1.392,1.462,5000,98.0,364.5,588,2.941,6.471,2,2.208,688,54,18,766
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,1.719,-15,8.6,8000,90.0,463.8,1.124,355,8.521,2,1.505,609,15,17,68
Guam ,OCEANIA                            ,171019,541,316.1,2.320,0,694,21000,99.0,492.0,909,1.636,7.455,2,1.879,448,,,
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,37,-167,3.593,4100,70.6,92.1,1.254,503,8.243,2,2.988,5.2,227,188,585
Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,6.410,384,471,20000,,842.4,,,,3,881,1.001,3,0.1,87
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,13,-306,9.037,2100,35.9,2.7,363,258,9.379,2,4.176,1.548,237,362,401
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,97,-157,10.717,800,42.4,7.4,1.067,882,8.051,2,3.722,1.653,62,12,26
Guyana ,LATIN AMER. & CARIB    ,767245,214970,3.6,21,-207,3.326,4000,98.8,143.5,244,15,9.741,2,1.828,828,37,203,427
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,299.4,638,-3.4,7.345,1600,52.9,16.9,28.3,1.161,6.009,2,3.644,1.217,28,0.2,52
